"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2021","2,776.17","2,746.51","2,797.52","2,670.35","1.61M","1.08%"
"Apr 28, 2021","2,746.54","2,665.83","2,759.03","2,562.74","1.74M","3.05%"
"Apr 27, 2021","2,665.24","2,531.07","2,677.95","2,484.44","1.45M","5.22%"
"Apr 26, 2021","2,533.12","2,320.63","2,539.80","2,305.97","1.79M","9.35%"
"Apr 25, 2021","2,316.48","2,217.23","2,355.20","2,169.91","1.02M","4.54%"
"Apr 24, 2021","2,215.93","2,367.35","2,367.46","2,159.60","1.61M","-6.39%"
"Apr 23, 2021","2,367.31","2,398.95","2,440.21","2,119.26","3.46M","-1.41%"
"Apr 22, 2021","2,401.10","2,360.32","2,642.99","2,313.46","3.17M","1.71%"
"Apr 21, 2021","2,360.81","2,331.84","2,467.51","2,238.15","2.10M","1.23%"
"Apr 20, 2021","2,332.14","2,161.06","2,345.18","2,058.00","1.86M","7.94%"
"Apr 19, 2021","2,160.63","2,236.10","2,275.87","2,081.30","1.90M","-3.42%"
"Apr 18, 2021","2,237.17","2,317.88","2,338.53","1,948.93","2.76M","-3.50%"
"Apr 17, 2021","2,318.33","2,424.12","2,493.93","2,314.12","1.73M","-4.33%"
"Apr 16, 2021","2,423.18","2,514.55","2,544.54","2,302.30","2.08M","-3.62%"
"Apr 15, 2021","2,514.22","2,432.90","2,541.90","2,402.75","1.91M","3.40%"
"Apr 14, 2021","2,431.56","2,299.25","2,445.40","2,281.49","2.11M","5.72%"
"Apr 13, 2021","2,299.93","2,137.55","2,315.47","2,136.49","2.38M","7.58%"
"Apr 12, 2021","2,137.81","2,150.79","2,199.52","2,103.73","2.16M","-0.63%"
"Apr 11, 2021","2,151.42","2,133.89","2,164.76","2,114.55","1.97M","0.83%"
"Apr 10, 2021","2,133.79","2,067.26","2,197.73","2,058.23","2.09M","3.23%"
"Apr 09, 2021","2,066.93","2,080.20","2,101.07","2,050.39","2.47M","-0.62%"
"Apr 08, 2021","2,079.92","1,962.44","2,084.08","1,951.83","1.73M","6.04%"
"Apr 07, 2021","1,961.46","2,112.41","2,128.25","1,939.64","2.30M","-7.11%"
"Apr 06, 2021","2,111.53","2,108.81","2,150.78","2,047.48","1.93M","0.24%"
"Apr 05, 2021","2,106.41","2,076.14","2,127.89","2,004.05","2.31M","1.47%"
"Apr 04, 2021","2,075.94","2,007.82","2,091.31","1,982.00","1.59M","3.35%"
"Apr 03, 2021","2,008.59","2,134.66","2,137.68","2,004.40","2.01M","-5.90%"
"Apr 02, 2021","2,134.55","1,968.12","2,144.11","1,949.99","2.47M","8.47%"
"Apr 01, 2021","1,967.96","1,918.82","1,983.84","1,897.38","2.08M","2.61%"
"Mar 31, 2021","1,917.99","1,841.01","1,945.40","1,774.66","2.59M","4.18%"
"Mar 30, 2021","1,841.01","1,816.92","1,857.65","1,788.60","3.03M","1.34%"
"Mar 29, 2021","1,816.69","1,686.88","1,839.41","1,678.38","1.94M","7.70%"
